,Road Location,Count
1514,london st,8
2437,strawberry hill st,8
2124,river rd,8
1927,pearson dr,8
1227,hood st,8
721,deal st,8
2006,pratt and whitney dr,8
36,abbington ave,8
1008,gatehouse run,8
1866,old ferry rd,8
829,edgewood ave,7
249,bedford bypass nb off ramp,7
2082,rankin dr,7
2087,raymond dr,7
2525,torrington dr,7
480,castle hill dr,7
2532,tremont dr,7
1283,james st,7
2215,sackville cross rd,7
821,east petpeswick rd,7
186,bancroft lane,7
2409,stairs st,7
2045,quinn st,7
162,auburn ave,7
2321,simmonds rd,7
997,gale terr,7
1145,harlington cres,7
2233,salmon river dr,7
1406,lakecrest dr,7
636,cooks brook rd,7
502,chadwick st,7
1727,morris dr,7
2470,sylvia ave,7
1149,hartlen ave,7
508,chameau cres,7
1782,nictaux dr,7
451,cambridge st,7
1860,ogilvie st,7
2646,welsford st,7
48,adelaide ave,7
691,crown dr,7
97,amesbury gate,7
282,bellefontaine rd,7
1396,lahey rd,7
2105,renfrew st,7
850,ellenvale ave,7
1374,kinsac rd,7
2144,robie street,7
2610,walker ave,7
2587,veterans memorial lane,7
2649,wentworth dr,7
1180,herring cove road,7
1892,ostrea lake rd,7
413,brookshire crt,7
281,belle vista dr,7
2072,ramp macc ramp,6
2622,washmill lake cmp,6
1089,green village lane,6
809,dyke rd,6
1536,lucien dr,6
2118,ridgevale dr,6
155,athorpe dr,6
1707,monaghan dr,6
622,connolly rd,6
415,brookside rd,6
1548,lynnett rd,6
2733,wittenburg rd,6
1935,peggys point rd,6
2434,stratford way,6
194,barnstead lane,6
1629,massachusetts ave ramp,6
1177,heritage hills dr,6
2383,springvale ave,6
1206,hillcrest st,6
1605,maple grove ave,6
1598,major st,6
1051,gloria mccluskey ave,6
1955,pine grove dr,6
1953,philip st,6
1665,meadowlark cres,6
1673,mellor ave,6
1577,mailing st,6
2658,west ship harbour rd,6
1553,macara st,6
291,berlin st,6
536,chestnut lane,6
1025,glen arbour way,6
1622,marketplace dr,6
439,burnside drive,6
2487,taranaki dr,6
2580,veith st,6
2693,william st,6
1011,gebhardt st,6
2482,tamarack dr,6
486,cavalier dr,6
931,first st,6
1024,glebe st,6
1990,portland estates blvd,6
248,bedford bypass,6
1994,portland pl,6
452,camelot lane,6
269,beech tree run,6
2520,tobin st,6
2694,williams ave,6
144,ashburn ave,6
130,armenia dr,6
1243,indian point rd,6
2612,walker service rd,6
1016,gerrish st,6
1893,otago dr,6
638,cork st,6
1476,les collins ave,6
854,elm st,6
262,bedford windsor ramp,6
670,cranberry cres,6
1484,lier rg,6
1805,north st ramp,6
577,coach ave,5
1198,higney ave,5
1597,majestic ave,5
1212,hirandale cres,5
2371,spencer ave,5
1604,maple dr,5
731,demone st,5
2373,spikenard st,5
2500,theakston ave,5
2418,stella dr,5
2421,stewart hill rd,5
1398,lake eagle dr,5
1336,katrina cres,5
2426,stone mount dr,5
2490,temple terr,5
633,convoy ave,5
2714,windsor dr,5
630,conrads rd,5
796,dunbrack street,5
68,albert st,5
145,ashdale ave,5
2722,windsor street,5
1529,lower partridge river rd,5
2633,watt st,5
1471,lemlair row,5
1341,kearney lake road,5
2472,symonds st,5
1546,lynch st,5
51,africville rd,5
37,abbott dr,5
2432,stoneybrook crt,5
765,downsview dr,5
93,almon street,5
601,colonna pl,5
2560,union st,5
2031,punch bowl dr,5
905,federal ave,5
532,cherry st,5
